name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,Country
Grove Mountains 020033,46632,Valid,LL4,1.51,Found,01/01/2002 12:00:00 AM,-73.10417,75.16778000000001,"-73.10417, 75.16778",
Grove Mountains 020034,46633,Valid,LL3,24.6,Found,01/01/2002 12:00:00 AM,-73.10333,75.17361,"-73.10333, 75.17361",
Grove Mountains 020035,46634,Valid,L3,6.32,Found,01/01/2002 12:00:00 AM,-73.10806,75.20416999999999,"-73.10806, 75.20417",
Grove Mountains 020036,46635,Valid,LL3,1.1,Found,01/01/2002 12:00:00 AM,-73.09889,75.175,"-73.09889, 75.175",
Grove Mountains 020037,46636,Valid,LL4,1.64,Found,01/01/2002 12:00:00 AM,-73.10556,75.17056,"-73.10556, 75.17056",
Grove Mountains 020038,46637,Valid,L4,25.6,Found,01/01/2002 12:00:00 AM,-73.14361,75.0575,"-73.14361, 75.0575",
Grove Mountains 020039,30674,Valid,L5,166.1,Found,01/01/2002 12:00:00 AM,-73.16306,75.05471999999999,"-73.16306, 75.05472",
Grove Mountains 020040,46638,Valid,L5,31.7,Found,01/01/2002 12:00:00 AM,-73.13472,75.04278000000001,"-73.13472, 75.04278",
Grove Mountains 020041,46639,Valid,LL4,1.41,Found,01/01/2002 12:00:00 AM,-73.10528000000001,75.15222,"-73.10528, 75.15222",
Grove Mountains 020042,46640,Valid,H4,2.16,Found,01/01/2003 12:00:00 AM,-73.00639,75.19221999999999,"-73.00639, 75.19222",
Grove Mountains 020043,46513,Valid,H4,56.9,Found,01/01/2003 12:00:00 AM,-72.99444,75.20778,"-72.99444, 75.20778",
Grove Mountains 020044,46514,Valid,H3,5.52,Found,01/01/2003 12:00:00 AM,-72.99389000000001,75.2125,"-72.99389, 75.2125",
Grove Mountains 020045,46515,Valid,H3,1.96,Found,01/01/2003 12:00:00 AM,-72.99167,75.21056,"-72.99167, 75.21056",
Grove Mountains 020046,46641,Valid,L6,3.0,Found,01/01/2003 12:00:00 AM,-72.99861,75.23611,"-72.99861, 75.23611",
Grove Mountains 020047,30675,Valid,L5,8.9,Found,01/01/2003 12:00:00 AM,-72.99944,75.22806,"-72.99944, 75.22806",
Grove Mountains 020048,30676,Valid,H5,8.5,Found,01/01/2003 12:00:00 AM,-73.00028,75.20222,"-73.00028, 75.20222",
Grove Mountains 020049,46516,Valid,L4,1.22,Found,01/01/2003 12:00:00 AM,-72.99444,75.20944,"-72.99444, 75.20944",
Grove Mountains 020050,46642,Valid,H5,3.13,Found,01/01/2003 12:00:00 AM,-72.99972,75.20971999999999,"-72.99972, 75.20972",
Grove Mountains 020051,46517,Valid,H4,1.36,Found,01/01/2003 12:00:00 AM,-72.99167,75.22778000000001,"-72.99167, 75.22778",
Grove Mountains 020052,46643,Valid,H5,12.1,Found,01/01/2003 12:00:00 AM,-73.01722,75.25556,"-73.01722, 75.25556",
Grove Mountains 020053,46644,Valid,L6,10.5,Found,01/01/2003 12:00:00 AM,-73.01,75.22778000000001,"-73.01, 75.22778",
Grove Mountains 020054,46645,Valid,H3,2.16,Found,01/01/2003 12:00:00 AM,-73.01611,75.18611,"-73.01611, 75.18611",
Grove Mountains 020055,46646,Valid,H5,3.01,Found,01/01/2003 12:00:00 AM,-72.99889,75.19722,"-72.99889, 75.19722",
Grove Mountains 020056,46647,Valid,L6,5.46,Found,01/01/2003 12:00:00 AM,-72.99861,75.19806,"-72.99861, 75.19806",
Grove Mountains 020057,46648,Valid,L5,14.1,Found,01/01/2003 12:00:00 AM,-72.99694000000001,75.20611,"-72.99694, 75.20611",
Grove Mountains 020058,46649,Valid,L5,2.53,Found,01/01/2003 12:00:00 AM,-72.99444,75.20555999999999,"-72.99444, 75.20556",
Grove Mountains 020059,46650,Valid,L4,209.0,Found,01/01/2003 12:00:00 AM,-72.99417,75.20528,"-72.99417, 75.20528",
Grove Mountains 020060,46651,Valid,L5,21.2,Found,01/01/2003 12:00:00 AM,-72.99306,75.2,"-72.99306, 75.2",
Grove Mountains 020061,46652,Valid,L6,6.55,Found,01/01/2003 12:00:00 AM,-72.99916999999999,75.22778000000001,"-72.99917, 75.22778",
Grove Mountains 020062,46653,Valid,L6,2.26,Found,01/01/2003 12:00:00 AM,-72.99722,75.21944,"-72.99722, 75.21944",
Grove Mountains 020063,46654,Valid,L6,2.86,Found,01/01/2003 12:00:00 AM,-72.99444,75.21667,"-72.99444, 75.21667",
Grove Mountains 020064,46655,Valid,L5,1.99,Found,01/01/2003 12:00:00 AM,-72.99667,75.21972,"-72.99667, 75.21972",
Grove Mountains 020065,46656,Valid,H5,2.33,Found,01/01/2003 12:00:00 AM,-72.99694000000001,75.22306,"-72.99694, 75.22306",
Grove Mountains 020066,46657,Valid,H4,1.76,Found,01/01/2003 12:00:00 AM,-72.99916999999999,75.23889,"-72.99917, 75.23889",
Grove Mountains 020067,47734,Valid,H4,0.94,Found,01/01/2003 12:00:00 AM,-72.986111,75.231944,"-72.986111, 75.231944",
Grove Mountains 020068,46658,Valid,L5,623.8,Found,01/01/2003 12:00:00 AM,-72.995,75.20583,"-72.995, 75.20583",
Grove Mountains 020069,46659,Valid,L5,171.5,Found,01/01/2003 12:00:00 AM,-72.99556,75.20778,"-72.99556, 75.20778",
Grove Mountains 020070,46660,Valid,H4,7.91,Found,01/01/2003 12:00:00 AM,-72.99916999999999,75.20278,"-72.99917, 75.20278",
Grove Mountains 020071,46661,Valid,H5,4.51,Found,01/01/2003 12:00:00 AM,-72.99889,75.20416999999999,"-72.99889, 75.20417",
Grove Mountains 020072,46518,Valid,H6,13.0,Found,01/01/2003 12:00:00 AM,-72.99833000000001,75.19583,"-72.99833, 75.19583",
Grove Mountains 020073,46519,Valid,L6,9.0,Found,01/01/2003 12:00:00 AM,-72.99889,75.21278000000001,"-72.99889, 75.21278",
Grove Mountains 020074,46520,Valid,H4,1.48,Found,01/01/2003 12:00:00 AM,-72.99583,75.20971999999999,"-72.99583, 75.20972",
Grove Mountains 020075,30677,Valid,H6,32.2,Found,01/01/2003 12:00:00 AM,-72.99583,75.20666999999999,"-72.99583, 75.20667",
Grove Mountains 020076,46521,Valid,H5,37.3,Found,01/01/2003 12:00:00 AM,-72.99528000000001,75.20444,"-72.99528, 75.20444",
Grove Mountains 020077,46522,Valid,H5,1.31,Found,01/01/2003 12:00:00 AM,-72.99444,75.205,"-72.99444, 75.205",
Grove Mountains 020078,30678,Valid,H4,20.0,Found,01/01/2003 12:00:00 AM,-73.01389,75.27083,"-73.01389, 75.27083",
Grove Mountains 020079,30679,Valid,L5,24.8,Found,01/01/2003 12:00:00 AM,-73.005,75.27221999999999,"-73.005, 75.27222",
Grove Mountains 020080,46662,Valid,H5,5.77,Found,01/01/2003 12:00:00 AM,-72.99028,75.27778,"-72.99028, 75.27778",
Grove Mountains 020081,46663,Valid,L6,5.03,Found,01/01/2003 12:00:00 AM,-72.99556,75.22055999999999,"-72.99556, 75.22056",
Grove Mountains 020082,30680,Valid,H5,8.7,Found,01/01/2003 12:00:00 AM,-72.99639,75.21694000000001,"-72.99639, 75.21694",
Grove Mountains 020083,46664,Valid,H4,1.12,Found,01/01/2003 12:00:00 AM,-72.99639,75.21278000000001,"-72.99639, 75.21278",
Grove Mountains 020084,46665,Valid,L5,7.73,Found,01/01/2003 12:00:00 AM,-72.99667,75.20833,"-72.99667, 75.20833",
Grove Mountains 020085,46666,Valid,L5,2.08,Found,01/01/2003 12:00:00 AM,-72.99639,75.20778,"-72.99639, 75.20778",
Grove Mountains 020087,46667,Valid,H5,2.07,Found,01/01/2003 12:00:00 AM,-73.00222,75.28305999999999,"-73.00222, 75.28306",
Grove Mountains 020088,46668,Valid,H4,3.02,Found,01/01/2003 12:00:00 AM,-73.00361,75.25278,"-73.00361, 75.25278",
Grove Mountains 020089,46669,Valid,H5,4.56,Found,01/01/2003 12:00:00 AM,-73.00361,75.25139,"-73.00361, 75.25139",
Grove Mountains 020090,30681,Valid,Martian (shergottite),7.5,Found,01/01/2003 12:00:00 AM,-72.99944,75.26111,"-72.99944, 75.26111",
Grove Mountains 020091,46670,Valid,H4,5.32,Found,01/01/2003 12:00:00 AM,-72.99583,75.2275,"-72.99583, 75.2275",
Grove Mountains 020093,46523,Valid,H6,1.06,Found,01/01/2003 12:00:00 AM,-72.99556,75.20639,"-72.99556, 75.20639",
Grove Mountains 020095,46524,Valid,L6,6.05,Found,01/01/2003 12:00:00 AM,-72.99528000000001,75.20666999999999,"-72.99528, 75.20667",
Grove Mountains 020097,46526,Valid,H5,131.2,Found,01/01/2003 12:00:00 AM,-72.99444,75.20416999999999,"-72.99444, 75.20417",
Grove Mountains 020098,46527,Valid,H6,122.7,Found,01/01/2003 12:00:00 AM,-72.99444,75.20444,"-72.99444, 75.20444",
Grove Mountains 020099,30682,Valid,Pallasite,23.5,Found,01/01/2003 12:00:00 AM,-72.9975,75.20416999999999,"-72.9975, 75.20417",
Grove Mountains 020100,46672,Valid,H4,7.25,Found,01/01/2003 12:00:00 AM,-72.99722,75.20389,"-72.99722, 75.20389",
Grove Mountains 020101,46673,Valid,H5,2.59,Found,01/01/2003 12:00:00 AM,-72.99417,75.20444,"-72.99417, 75.20444",
Grove Mountains 020102,46674,Valid,H5,4.23,Found,01/01/2003 12:00:00 AM,-72.99667,75.21806,"-72.99667, 75.21806",
Grove Mountains 020103,30683,Valid,L6,19.1,Found,01/01/2003 12:00:00 AM,-72.99,75.26167,"-72.99, 75.26167",
Grove Mountains 020104,46675,Valid,LL3,26.1,Found,01/01/2003 12:00:00 AM,-72.98139,75.26,"-72.98139, 75.26",
Grove Mountains 020105,46676,Valid,LL3,24.4,Found,01/01/2003 12:00:00 AM,-72.98083000000001,75.25556,"-72.98083, 75.25556",
Grove Mountains 020106,46677,Valid,L3,13.9,Found,01/01/2003 12:00:00 AM,-72.98083000000001,75.25610999999999,"-72.98083, 75.25611",
Grove Mountains 020107,46678,Valid,L5,3.68,Found,01/01/2003 12:00:00 AM,-72.98,75.25639,"-72.98, 75.25639",
Grove Mountains 020108,46679,Valid,H4,5.79,Found,01/01/2003 12:00:00 AM,-72.98028000000001,75.25556,"-72.98028, 75.25556",
Grove Mountains 020109,46680,Valid,H4,2.02,Found,01/01/2003 12:00:00 AM,-72.98028000000001,75.25471999999999,"-72.98028, 75.25472",
Grove Mountains 020110,46681,Valid,H4,3.06,Found,01/01/2003 12:00:00 AM,-72.98139,75.24972,"-72.98139, 75.24972",
Grove Mountains 020111,46528,Valid,L3,2.18,Found,01/01/2003 12:00:00 AM,-72.97972,75.25639,"-72.97972, 75.25639",
Grove Mountains 020112,46529,Valid,H3,1.6,Found,01/01/2003 12:00:00 AM,-72.98056,75.25556,"-72.98056, 75.25556",
Grove Mountains 020113,46530,Valid,H4,1.28,Found,01/01/2003 12:00:00 AM,-72.98,75.26,"-72.98, 75.26",
Grove Mountains 020114,46531,Valid,L3,1.0,Found,01/01/2003 12:00:00 AM,-72.98194000000001,75.25166999999999,"-72.98194, 75.25167",
Grove Mountains 020115,46532,Valid,L6,8.34,Found,01/01/2003 12:00:00 AM,-72.97861,75.26611,"-72.97861, 75.26611",
Grove Mountains 020116,30684,Valid,L5,123.6,Found,01/01/2003 12:00:00 AM,-72.97917,75.26556,"-72.97917, 75.26556",
Grove Mountains 020117,46682,Valid,L5,3.51,Found,01/01/2003 12:00:00 AM,-72.97667,75.26694,"-72.97667, 75.26694",
Grove Mountains 020118,46683,Valid,H4,8.12,Found,01/01/2003 12:00:00 AM,-72.97917,75.26583000000001,"-72.97917, 75.26583",
Grove Mountains 020119,46684,Valid,H4,36.4,Found,01/01/2003 12:00:00 AM,-72.97889,75.26472,"-72.97889, 75.26472",
Grove Mountains 020120,46685,Valid,H5,1.73,Found,01/01/2003 12:00:00 AM,-72.97917,75.25806,"-72.97917, 75.25806",
Grove Mountains 020121,46686,Valid,H5,14.5,Found,01/01/2003 12:00:00 AM,-72.97833,75.25889000000001,"-72.97833, 75.25889",
Grove Mountains 020122,46687,Valid,H6,13.8,Found,01/01/2003 12:00:00 AM,-72.97721999999999,75.26028000000001,"-72.97722, 75.26028",
Grove Mountains 020123,46688,Valid,H5,3.39,Found,01/01/2003 12:00:00 AM,-72.97778000000001,75.26,"-72.97778, 75.26",
Grove Mountains 020124,46689,Valid,Mesosiderite,1.47,Found,01/01/2003 12:00:00 AM,-72.97861,75.26083,"-72.97861, 75.26083",
Grove Mountains 020125,46690,Valid,L5,2.1,Found,01/01/2003 12:00:00 AM,-72.97944,75.26028000000001,"-72.97944, 75.26028",
Grove Mountains 020126,46691,Valid,H5,4.79,Found,01/01/2003 12:00:00 AM,-72.9775,75.26083,"-72.9775, 75.26083",
Grove Mountains 020127,46692,Valid,L5,6.77,Found,01/01/2003 12:00:00 AM,-72.98056,75.2625,"-72.98056, 75.2625",
Grove Mountains 020128,46693,Valid,H5,11.7,Found,01/01/2003 12:00:00 AM,-72.98139,75.26389,"-72.98139, 75.26389",
Grove Mountains 020129,30685,Valid,H5,51.7,Found,01/01/2003 12:00:00 AM,-72.98222,75.26583000000001,"-72.98222, 75.26583",
Grove Mountains 020130,46694,Valid,H4,139.7,Found,01/01/2003 12:00:00 AM,-72.97667,75.26028000000001,"-72.97667, 75.26028",
Grove Mountains 020131,46533,Valid,L6,3.81,Found,01/01/2003 12:00:00 AM,-72.97694,75.26111,"-72.97694, 75.26111",
Grove Mountains 020132,46534,Valid,L6,1.9,Found,01/01/2003 12:00:00 AM,-72.97721999999999,75.26139,"-72.97722, 75.26139",
Grove Mountains 020134,46535,Valid,L6,16.4,Found,01/01/2003 12:00:00 AM,-72.97806,75.26056,"-72.97806, 75.26056",
Grove Mountains 020135,46695,Valid,L5,12.3,Found,01/01/2003 12:00:00 AM,-72.98,75.25889000000001,"-72.98, 75.25889",
Grove Mountains 020136,46696,Valid,L4,3.31,Found,01/01/2003 12:00:00 AM,-72.97917,75.26278,"-72.97917, 75.26278",
Grove Mountains 020137,46697,Valid,L3,8.75,Found,01/01/2003 12:00:00 AM,-72.98056,75.25833,"-72.98056, 75.25833",
Grove Mountains 020138,46698,Valid,L6,2.27,Found,01/01/2003 12:00:00 AM,-72.97861,75.255,"-72.97861, 75.255",
Grove Mountains 020139,46699,Valid,H6,3.25,Found,01/01/2003 12:00:00 AM,-72.97833,75.25721999999999,"-72.97833, 75.25722",
Grove Mountains 020140,46700,Valid,H6,7.08,Found,01/01/2003 12:00:00 AM,-72.97721999999999,75.25861,"-72.97722, 75.25861",
Grove Mountains 020141,47735,Valid,L6,0.92,Found,01/01/2003 12:00:00 AM,-72.9775,75.263889,"-72.9775, 75.263889",
Grove Mountains 020142,46701,Valid,L6,1.13,Found,01/01/2003 12:00:00 AM,-72.97778000000001,75.25778000000001,"-72.97778, 75.25778",
Grove Mountains 020143,46702,Valid,L6,2.28,Found,01/01/2003 12:00:00 AM,-72.97694,75.25694,"-72.97694, 75.25694",
Grove Mountains 020144,46703,Valid,H5,1.96,Found,01/01/2003 12:00:00 AM,-72.97778000000001,75.26167,"-72.97778, 75.26167",
Grove Mountains 020145,46704,Valid,L5,1.69,Found,01/01/2003 12:00:00 AM,-72.9775,75.25528,"-72.9775, 75.25528",
Grove Mountains 020146,46705,Valid,H6,2.28,Found,01/01/2003 12:00:00 AM,-72.97639000000001,75.26722,"-72.97639, 75.26722",
Grove Mountains 020147,46706,Valid,H5,2.9,Found,01/01/2003 12:00:00 AM,-72.9775,75.26528,"-72.9775, 75.26528",
Grove Mountains 020148,46707,Valid,L5,6.88,Found,01/01/2003 12:00:00 AM,-72.9775,75.26583000000001,"-72.9775, 75.26583",
Grove Mountains 020149,46708,Valid,L5,8.89,Found,01/01/2003 12:00:00 AM,-72.97694,75.2675,"-72.97694, 75.2675",
Grove Mountains 020150,46709,Valid,H6,2.02,Found,01/01/2003 12:00:00 AM,-72.97778000000001,75.26556,"-72.97778, 75.26556",
Grove Mountains 020151,46710,Valid,L6,1.45,Found,01/01/2003 12:00:00 AM,-72.97972,75.26333000000001,"-72.97972, 75.26333",
Grove Mountains 020152,46711,Valid,L6,2.53,Found,01/01/2003 12:00:00 AM,-72.97972,75.26361,"-72.97972, 75.26361",
Grove Mountains 020153,46536,Valid,H5,1.6,Found,01/01/2003 12:00:00 AM,-72.98056,75.26417,"-72.98056, 75.26417",
Grove Mountains 020154,46537,Valid,L5,1.51,Found,01/01/2003 12:00:00 AM,-72.98083000000001,75.26111,"-72.98083, 75.26111",
Grove Mountains 020155,30686,Valid,L6,612.0,Found,01/01/2003 12:00:00 AM,-72.97721999999999,75.26833,"-72.97722, 75.26833",
Grove Mountains 020156,46712,Valid,L5,2.65,Found,01/01/2003 12:00:00 AM,-72.97721999999999,75.26805999999999,"-72.97722, 75.26806",
Grove Mountains 020157,46713,Valid,L5,4.8,Found,01/01/2003 12:00:00 AM,-72.97721999999999,75.26778,"-72.97722, 75.26778",
Grove Mountains 020158,30687,Valid,L4,1101.8,Found,01/01/2003 12:00:00 AM,-72.97667,75.27083,"-72.97667, 75.27083",
Grove Mountains 020159,46714,Valid,L5,1.54,Found,01/01/2003 12:00:00 AM,-72.97861,75.26111,"-72.97861, 75.26111",
Grove Mountains 020160,46715,Valid,H5,3.72,Found,01/01/2003 12:00:00 AM,-72.97833,75.26056,"-72.97833, 75.26056",
Grove Mountains 020161,46716,Valid,L6,7.6,Found,01/01/2003 12:00:00 AM,-72.97889,75.26111,"-72.97889, 75.26111",
Grove Mountains 020162,46717,Valid,H3,2.31,Found,01/01/2003 12:00:00 AM,-72.97610999999999,75.26694,"-72.97611, 75.26694",
Grove Mountains 020163,46718,Valid,L6,3.42,Found,01/01/2003 12:00:00 AM,-72.97639000000001,75.265,"-72.97639, 75.265",
Grove Mountains 020164,46719,Valid,L3,5.2,Found,01/01/2003 12:00:00 AM,-72.97667,75.26583000000001,"-72.97667, 75.26583",
Grove Mountains 020165,46720,Valid,L3,6.96,Found,01/01/2003 12:00:00 AM,-72.97639000000001,75.26306,"-72.97639, 75.26306",
Grove Mountains 020166,46721,Valid,H3,8.02,Found,01/01/2003 12:00:00 AM,-72.9775,75.26306,"-72.9775, 75.26306",
